"","name1","name2","Hamming"
"44","IN_5","IN_7",59
"51","IN_6","IN_7",59
"26","IN_3","IN_6",60
"59","IN_7","IN_9_1",60
"43","IN_5","IN_6",62
"53","IN_6","IN_9_1",63
"55","IN_6","OUT_1",66
"27","IN_3","IN_7",67
"61","IN_7","OUT_1",67
"25","IN_3","IN_5",68
"56","IN_6","OUT_2",68
"29","IN_3","IN_9_1",71
"46","IN_5","IN_9_1",71
"48","IN_5","OUT_1",72
"63","IN_7","OUT_3",72
"57","IN_6","OUT_3",73
"31","IN_3","OUT_1",74
"54","IN_6","IN_9_2",74
"62","IN_7","OUT_2",75
"71","IN_9_1","OUT_2",75
"60","IN_7","IN_9_2",77
"70","IN_9_1","OUT_1",77
"5","IN_1","IN_6",78
"32","IN_3","OUT_2",78
"36","IN_4","IN_7",78
"49","IN_5","OUT_2",78
"52","IN_6","IN_8",78
"33","IN_3","OUT_3",79
"35","IN_4","IN_6",79
"69","IN_9_1","IN_9_2",79
"50","IN_5","OUT_3",81
"72","IN_9_1","OUT_3",82
"76","OUT_1","OUT_2",82
"6","IN_1","IN_7",83
"40","IN_4","OUT_1",83
"58","IN_7","IN_8",83
"77","OUT_1","OUT_3",83
"4","IN_1","IN_5",84
"28","IN_3","IN_8",84
"30","IN_3","IN_9_2",84
"24","IN_3","IN_4",85
"34","IN_4","IN_5",85
"2","IN_1","IN_3",86
"47","IN_5","IN_9_2",86
"8","IN_1","IN_9_1",87
"17","IN_2","IN_7",87
"45","IN_5","IN_8",88
"64","IN_8","IN_9_1",89
"13","IN_2","IN_3",90
"15","IN_2","IN_5",90
"38","IN_4","IN_9_1",90
"73","IN_9_2","OUT_1",90
"74","IN_9_2","OUT_2",90
"41","IN_4","OUT_2",91
"78","OUT_2","OUT_3",91
"10","IN_1","OUT_1",92
"16","IN_2","IN_6",92
"42","IN_4","OUT_3",92
"66","IN_8","OUT_1",92
"75","IN_9_2","OUT_3",93
"67","IN_8","OUT_2",94
"19","IN_2","IN_9_1",95
"11","IN_1","OUT_2",96
"12","IN_1","OUT_3",97
"68","IN_8","OUT_3",97
"21","IN_2","OUT_1",98
"9","IN_1","IN_9_2",100
"65","IN_8","IN_9_2",100
"3","IN_1","IN_4",101
"37","IN_4","IN_8",101
"39","IN_4","IN_9_2",101
"7","IN_1","IN_8",102
"22","IN_2","OUT_2",104
"20","IN_2","IN_9_2",108
"23","IN_2","OUT_3",109
"14","IN_2","IN_4",111
"18","IN_2","IN_8",114
"1","IN_1","IN_2",116
